applicant_id,predicted_prob,actual_default,decision,requires_adverse_action,reason_codes
0,0.9703004114938304,1,Denied,True,Insufficient Loan Term Length | Geographic Risk Factor (Florida) | Business Maturity Profile
1,0.1005948290438221,0,Approved,False,
2,0.0106026815838885,0,Approved,False,
3,0.1487032980136489,0,Approved,False,
4,0.1104712176637889,0,Approved,False,
5,0.0078944540045596,0,Approved,False,
6,0.1068911533834377,0,Approved,False,
7,0.0409161928759919,0,Approved,False,
8,0.4197270424731298,0,Approved - Unfavorable Terms,True,Insufficient Loan Term Length | Geographic Risk Factor (California) | Business Maturity Profile
9,0.0163989803656484,0,Approved,False,
10,0.4083399030707862,0,Approved - Unfavorable Terms,True,Elevated Interest Rate Risk | Insufficient SBA Guarantee Coverage | Early-Stage Business Risk
11,0.9497990415465364,1,Denied,True,Insufficient Loan Term Length | Insufficient SBA Guarantee Coverage | Loan Amount Outside Acceptable Range
12,0.0035443601339766,0,Approved,False,
13,0.1309263149108567,0,Approved,False,
14,0.0094927387370296,0,Approved,False,
15,0.1001562731260182,0,Approved,False,
16,0.0380118236870172,0,Approved,False,
17,0.0191118689866199,0,Approved,False,
18,0.0169186546316547,0,Approved,False,
19,0.074545701216797,0,Approved,False,
20,0.1185826883070584,0,Approved,False,
21,0.0441423753963723,0,Approved,False,
22,0.1573913508552775,0,Approved,False,
23,0.0046858427264466,0,Approved,False,
24,0.0583528150417154,0,Approved,False,
25,0.1453079523080389,0,Approved,False,
26,0.0325796337186314,0,Approved,False,
27,0.0085803893979997,0,Approved,False,
28,0.0512822580954965,0,Approved,False,
29,0.0629497724153968,0,Approved,False,
30,0.1479422460421804,0,Approved,False,
31,0.0447568008078214,0,Approved,False,
32,0.2712777016074955,0,Approved,False,
33,0.0070987207368533,0,Approved,False,
34,0.0091886405179328,0,Approved,False,
35,0.8540582453386776,0,Denied,True,Insufficient Loan Term Length | Elevated Interest Rate Risk | Business Maturity Profile
36,0.6207468587073207,0,Denied,True,Insufficient Loan Term Length | Early-Stage Business Risk | Business Maturity Profile
37,0.001593348462508,0,Approved,False,
